User-ID;ISBN;Book-Rating
03cf8f1e;7115763614;10
6768617e;8330458009;0
b3930f6a;5178061783;5
2118dfd0;9071118860;6
4f4bc85b;1476239059;0
a2f09487;1821029911;8
bfe6220b;3925368948;9
6f8910a8;4812530493;9
27e17d0a;7875024467;0
bc39588e;2890497741;9
3d31f94d;4440793987;0
7554a862;8142826364;9
a64fe6b7;0061120081;8
75832de7;2281619310;10
7d98ae39;9627024167;5
ced92ffa;3523978147;0
fc4b478f;8337603120;9
1378f132;9015018347;7
a6bfdd6c;6495412922;4
27e17d0a;3302254196;0
015676d0;4624625189;10
f12cee00;7147300163;6
34ed34a6;1658252720;9
dc62e3d3;1669277496;7
2f21a249;9000112700;6
dd2097ac;4115345794;5
9c2f8483;9071118860;0
a08b1179;8049319315;7
9909e0e4;9405864904;0
ced92ffa;1021557482;6
caef7200;6369962676;0
5e5c13ac;1866213449;8
bda5a4d1;1116678776;7
3032bae5;2337843204;6
6e68e379;6020732665;8
6e68e379;6218444362;0
f9f3c9c5;5346804001;9
74e82020;2581487122;10
710470dc;8532138949;7
c0576ebc;2474353763;6
f9bcb1dd;7619950719;8
57f36835;2281619310;9
7eaa08a1;6601483708;0
3d31f94d;2859743210;8
20bb7000;9595232668;10
bfe6220b;4929329618;7
a0eff95a;3701851923;7
eb7e1fae;6601483708;7
259b69ff;2577170343;3
4b343c2a;5237671876;9
a618ca68;1360451387;0
4b343c2a;7857819655;8
4a0d8916;9763924983;0
123350ea;5441914390;7
3d7d57c9;9976008720;7
935368b2;2297641198;8
bf1f4558;5071175285;6
9fe0e8eb;1052907176;7
32488c3c;3074177037;7
fca5d4d7;2856834827;9
5e5c13ac;7303526948;9
8ca4a4a1;9419021410;7
77817488;8001112203;7
a618ca68;9763924983;0
bc39588e;1360451387;10
9bc03366;1594130019;0
4f56339d;6232678046;0
ced92ffa;9595232668;8
f8b00b3b;3472129669;6
0efce01a;5172266428;7
9f04c2a7;5563528775;7
26ca538b;9790971671;7
ed78b016;6381794193;8
30c46078;0439139597;8
92609be1;8772809829;7
62612d95;8607273334;0
9f04c2a7;1914658319;8
2a49548b;3951230026;0
2118dfd0;6232678046;8
26ca538b;6987396598;10
9faf8447;4465999099;6
31515d68;9741766011;8
015676d0;5634488466;10
fc4b478f;6814349903;9
9526cc49;6598917973;7
a618ca68;1709315918;4
cc9a615d;3033883668;8
123350ea;9627024167;9
a5d61556;6855035803;7
b2a92e00;1963184514;8
d1a8c1c2;6855035803;8
80bf7c67;6354259448;8
0caf653d;1899482137;0
f739e4e4;3351541706;4
33f53bc7;9890591807;7
bc39588e;3033624402;7
87986496;6926419415;6
650f766b;5404823080;6
31515d68;7033400084;0
f12cee00;2890497741;8
eb7e1fae;6332154924;7
32488c3c;3693529285;7
f8b00b3b;2778442914;7
0caf653d;6858394506;9
c21193e9;7054704639;6
33f53bc7;9790943877;6
bf768b2d;3298585010;0
f0aa20e7;6120910131;8
4416fb63;6247033847;8
935368b2;5441914390;7
2118dfd0;1342068483;7
c0576ebc;1992044978;8
87986496;5501472164;8
32488c3c;6314724970;9
bc39588e;9613997196;8
59fd5976;2156549338;6
ddf1eed4;1648998735;8
c30a809c;1590367180;9
03b87354;5501472164;9
a91408a7;7357863638;0
b3930f6a;0439136350;0
4b343c2a;9478061263;5
2a49548b;6337032383;0
015676d0;5473065332;7
f41736a3;5850919410;6
3d7d40fb;6453987479;0
a64fe6b7;8761240291;9
b715c859;9790943877;8
63cb4066;5525282720;7
4b49dfa1;8330458009;8
72ee60e7;4929329618;9
a64fe6b7;1617301437;5
0816d85e;3179686086;0
